site_id,long,lat
warw_1,-71.410363,41.725555
warw_2,-71.411058,41.721389
warw_3,-71.414491,41.720409
warw_4,-71.413968,41.722483
warw_5,-71.415196,41.725119
warw_6,-71.414031,41.726751
warw_P,-71.411984,41.722666
yawg_1,-71.573721,41.515308
yawg_2,-71.571179,41.513535
yawg_3,-71.56939,41.510087
yawg_4,-71.57059,41.508108
yawg_5,-71.572813,41.50866
yawg_6,-71.575512,41.512846
yawg_P,-71.573015,41.510675
mash_1,-71.435347,41.793138
mash_2,-71.431722,41.789743
mash_3,-71.430135,41.791237
mash_4,-71.431909,41.793443
mash_5,-71.4307,41.797719
mash_6,-71.432367,41.79829
mash_P,-71.433295,41.793894
