SAMPLE-001,value ,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-002,124.24,RFU,mashapaug,solid std,NA,NA,chl_rfu,10,9,25,NA,147
SAMPLE-003,1.95,RFU,mashapaug,NA,surface,1,blank,25,7,25,100,147
SAMPLE-004,1.36,RFU,mashapaug,NA,surface,2,blank,25,7,25,100,147
SAMPLE-005,1458.89,RFU,mashapaug,1,surface,1,chl_rfu,25,7,25,100,147
SAMPLE-006,1272.16,RFU,mashapaug,1,surface,2,chl_rfu,25,7,25,100,147
SAMPLE-007,1362.94,RFU,mashapaug,1,surface,3,chl_rfu,25,7,25,100,147
SAMPLE-008,1481.86,RFU,mashapaug,2,surface,1,chl_rfu,25,7,25,100,147
SAMPLE-009,1499.16,RFU,mashapaug,2,surface,2,chl_rfu,25,7,25,100,147
SAMPLE-010,1446.38,RFU,mashapaug,2,surface,3,chl_rfu,25,7,25,100,147
SAMPLE-011,1360.71,RFU,mashapaug,3,surface,1,chl_rfu,25,7,25,100,147
SAMPLE-012,1364.81,RFU,mashapaug,3,surface,2,chl_rfu,25,7,25,100,147
SAMPLE-013,1520.12,RFU,mashapaug,3,surface,3,chl_rfu,25,7,25,100,147
SAMPLE-014,1381.85,RFU,mashapaug,4,surface,1,chl_rfu,25,7,25,100,147
SAMPLE-015,1501.95,RFU,mashapaug,4,surface,2,chl_rfu,25,7,25,100,147
SAMPLE-016,1320.33,RFU,mashapaug,4,surface,3,chl_rfu,25,7,25,100,147
SAMPLE-017,1545.65,RFU,mashapaug,b,surface,1,chl_rfu,25,7,25,100,147
SAMPLE-018,1622.28,RFU,mashapaug,b,surface,2,chl_rfu,25,7,25,100,147
SAMPLE-019,1458.15,RFU,mashapaug,b,surface,3,chl_rfu,25,7,25,100,147
SAMPLE-020,0.83,RFU,mashapaug,NA,NA,1,blank,8,8,25,100,147
SAMPLE-021,1.01,RFU,mashapaug,NA,NA,2,blank,8,8,25,100,147
SAMPLE-022,945.34,RFU,mashapaug,1,surface,1,chl_rfu,8,8,25,100,147
SAMPLE-023,969.08,RFU,mashapaug,1,surface,2,chl_rfu,8,8,25,100,147
SAMPLE-024,949.51,RFU,mashapaug,1,surface,3,chl_rfu,8,8,25,100,147
SAMPLE-025,1067.75,RFU,mashapaug,2,surface,1,chl_rfu,8,8,25,100,147
SAMPLE-026,1103.17,RFU,mashapaug,2,surface,2,chl_rfu,8,8,25,100,147
SAMPLE-027,923.38,RFU,mashapaug,2,surface,3,chl_rfu,8,8,25,100,147
SAMPLE-028,1040.63,RFU,mashapaug,3,surface,1,chl_rfu,8,8,25,100,147
SAMPLE-029,1083.94,RFU,mashapaug,3,surface,2,chl_rfu,8,8,25,100,147
SAMPLE-030,1063.62,RFU,mashapaug,3,surface,3,chl_rfu,8,8,25,100,147
SAMPLE-031,1101.58,RFU,mashapaug,4,surface,1,chl_rfu,8,8,25,100,147
SAMPLE-032,1149.09,RFU,mashapaug,4,surface,2,chl_rfu,8,8,25,100,147
SAMPLE-033,1230.74,RFU,mashapaug,4,surface,3,chl_rfu,8,8,25,100,147
SAMPLE-034,1104.57,RFU,mashapaug,b,surface,1,chl_rfu,8,8,25,100,147
SAMPLE-035,1060.96,RFU,mashapaug,b,surface,2,chl_rfu,8,8,25,100,147
SAMPLE-036,973.21,RFU,mashapaug,b,surface,3,chl_rfu,8,8,25,100,147
SAMPLE-037,0.69,RFU,mashapaug,NA,NA,1,blank,15,8,25,100,147
SAMPLE-038,0.62,RFU,mashapaug,NA,NA,2,blank,15,8,25,100,147
SAMPLE-039,702.05,RFU,mashapaug,b,surface,1,chl_rfu,15,8,25,100,147
SAMPLE-040,766.66,RFU,mashapaug,b,surface,2,chl_rfu,15,8,25,100,147
SAMPLE-041,859.27,RFU,mashapaug,b,surface,3,chl_rfu,15,8,25,100,147
SAMPLE-042,2.23,RFU,mashapaug,NA,NA,1,blank,19,8,25,100,147
SAMPLE-043,2.4,RFU,mashapaug,NA,NA,2,blank,19,8,25,100,147
SAMPLE-044,907.77,RFU,mashapaug,1,surface,1,chl_rfu,19,8,25,100,147
SAMPLE-045,938.03,RFU,mashapaug,1,surface,2,chl_rfu,19,8,25,100,147
SAMPLE-046,1022.45,RFU,mashapaug,1,surface,3,chl_rfu,19,8,25,100,147
SAMPLE-047,951.04,RFU,mashapaug,2,surface,1,chl_rfu,19,8,25,100,147
SAMPLE-048,1296.2,RFU,mashapaug,2,surface,2,chl_rfu,19,8,25,100,147
SAMPLE-049,1168.81,RFU,mashapaug,2,surface,3,chl_rfu,19,8,25,100,147
SAMPLE-050,1185.37,RFU,mashapaug,3,surface,1,chl_rfu,19,8,25,100,147
SAMPLE-051,1222.6,RFU,mashapaug,3,surface,2,chl_rfu,19,8,25,100,147
SAMPLE-052,1296.06,RFU,mashapaug,3,surface,3,chl_rfu,19,8,25,100,147
SAMPLE-053,1304.83,RFU,mashapaug,4,surface,1,chl_rfu,19,8,25,100,147
SAMPLE-054,1666.02,RFU,mashapaug,4,surface,2,chl_rfu,19,8,25,100,147
SAMPLE-055,1488.55,RFU,mashapaug,4,surface,3,chl_rfu,19,8,25,100,147
SAMPLE-056,1108.99,RFU,mashapaug,b,surface,1,chl_rfu,19,8,25,100,147
SAMPLE-057,1145.73,RFU,mashapaug,b,surface,2,chl_rfu,19,8,25,100,147
SAMPLE-058,1174.85,RFU,mashapaug,b,surface,3,chl_rfu,19,8,25,100,147
