,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol
AMPLE-002,227.33,RFU,na,solid std,na,na,chla_rfu,12,12,2019,na
SAMPLE-003,0.49,RFU,slack,blank,int,1,blank,26,9,2019,na
SAMPLE-004,0.67,RFU,slack,blank,int,2,blank,26,9,2019,na
SAMPLE-005,22.5,RFU,slack,blank,int,3,blank,26,9,2019,na
SAMPLE-006,1061.12,RFU,slack,1,int,1,chla_rfu,26,9,2019,200
SAMPLE-007,1098.36,RFU,slack,1,int,2,chla_rfu,26,9,2019,200
SAMPLE-008,1112.2,RFU,slack,1,int,3,chla_rfu,26,9,2019,200
SAMPLE-009,1096.04,RFU,slack,2,int,1,chla_rfu,26,9,2019,200
SAMPLE-010,1055.85,RFU,slack,2,int,2,chla_rfu,26,9,2019,200
SAMPLE-011,1058.19,RFU,slack,2,int,3,chla_rfu,26,9,2019,200
AMPLE-012,1032.29,RFU,slack,3,int,1,chla_rfu,26,9,2019,200
SAMPLE-013,1046.84,RFU,slack,3,int,2,chla_rfu,26,9,2019,200
AMPLE-014,1012.96,RFU,slack,3,int,3,chla_rfu,26,9,2019,200
SAMPLE-015,982.59,RFU,slack,4,int,1,chla_rfu,26,9,2019,200
SAMPLE-016,1132.59,RFU,slack,4,int,2,chla_rfu,26,9,2019,200
AMPLE-017,999.71,RFU,slack,4,int,3,chla_rfu,26,9,2019,200
SAMPLE-018,1589.95,RFU,slack,5,int,1,chla_rfu,26,9,2019,200
SAMPLE-019,1621.87,RFU,slack,5,int,2,chla_rfu,26,9,2019,200
SAMPLE-020,1423.85,RFU,slack,5,int,3,chla_rfu,26,9,2019,200
SAMPLE-021,0.46,RFU,slack,blank,int,1,blank,24,10,2019,na
AMPLE-022,0.37,RFU,slack,blank,int,2,blank,24,10,2019,na
SAMPLE-023,0.73,RFU,slack,blank,int,3,blank,24,10,2019,na
SAMPLE-024,885.65,RFU,slack,1,int,1,chla_rfu,24,10,2019,250
SAMPLE-025,934.79,RFU,slack,1,int,2,chla_rfu,24,10,2019,250
SAMPLE-026,869.41,RFU,slack,1,int,3,chla_rfu,24,10,2019,250
SAMPLE-027,936.72,RFU,slack,2,int,1,chla_rfu,24,10,2019,250
SAMPLE-028,900.96,RFU,slack,2,int,2,chla_rfu,24,10,2019,250
SAMPLE-029,913.54,RFU,slack,2,int,3,chla_rfu,24,10,2019,250
AMPLE-030,952.46,RFU,slack,3,int,1,chla_rfu,24,10,2019,250
SAMPLE-031,928.52,RFU,slack,3,int,2,chla_rfu,24,10,2019,250
SAMPLE-032,974.69,RFU,slack,3,int,3,chla_rfu,24,10,2019,250
SAMPLE-033,882.04,RFU,slack,4,int,1,chla_rfu,24,10,2019,250
AMPLE-034,903.31,RFU,slack,4,int,2,chla_rfu,24,10,2019,250
SAMPLE-035,901.69,RFU,slack,4,int,3,chla_rfu,24,10,2019,250
SAMPLE-036,908.58,RFU,slack,5,int,1,chla_rfu,24,10,2019,250
SAMPLE-037,915.56,RFU,slack,5,int,2,chla_rfu,24,10,2019,250
SAMPLE-038,898.91,RFU,slack,5,int,3,chla_rfu,24,10,2019,250
SAMPLE-039,0.65,RFU,slack,blank,int,1,blank,7,11,2019,na
SAMPLE-040,0.96,RFU,slack,blank,int,2,blank,7,11,2019,na
SAMPLE-041,1.07,RFU,slack,blank,int,3,blank,7,11,2019,na
SAMPLE-042,893.88,RFU,slack,1,int,1,chla_rfu,7,11,2019,300
SAMPLE-043,835.54,RFU,slack,1,int,2,chla_rfu,7,11,2019,300
SAMPLE-044,871.65,RFU,slack,1,int,3,chla_rfu,7,11,2019,300
SAMPLE-045,751.2,RFU,slack,2,int,1,chla_rfu,7,11,2019,300
SAMPLE-046,740.69,RFU,slack,2,int,2,chla_rfu,7,11,2019,300
SAMPLE-047,760.97,RFU,slack,2,int,3,chla_rfu,7,11,2019,300
SAMPLE-048,851.95,RFU,slack,3,int,1,chla_rfu,7,11,2019,300
SAMPLE-049,841.23,RFU,slack,3,int,2,chla_rfu,7,11,2019,300
SAMPLE-050,852.47,RFU,slack,3,int,3,chla_rfu,7,11,2019,300
AMPLE-051,819.75,RFU,slack,4,int,1,chla_rfu,7,11,2019,300
AMPLE-052,823.34,RFU,slack,4,int,2,chla_rfu,7,11,2019,300
AMPLE-053,843.7,RFU,slack,4,int,3,chla_rfu,7,11,2019,300
SAMPLE-054,637.92,RFU,slack,5,int,1,chla_rfu,7,11,2019,300
SAMPLE-055,529.64,RFU,slack,5,int,2,chla_rfu,7,11,2019,300
SAMPLE-056,802.33,RFU,slack,5,int,3,chla_rfu,7,11,2019,300
SAMPLE-057,226.8,RFU,na,solid std,na,na,chla_rfu,12,12,2019,na
